Profile URL,Post ID,Reel URL,Likes,Comments,Replies,Raw Replies,Video Length (seconds),Post Time (EST),Month,Day of Month,Year,Cumulative Date,Day of Week,Profile URL,Reel Number,View Count,Profile URL,Followers
https://www.instagram.com/laysieee/reels/,Ct9xJivpsRt,https://www.instagram.com/laysieee/reel/Ct9xJivpsRt/,301,36,0,36,66.83333333,15:22:03,June,26,2023,2023-06-26,Monday,https://www.instagram.com/laysieee/reels/,10,4142,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,Ct4p1ABuUfj,https://www.instagram.com/laysieee/reel/Ct4p1ABuUfj/,743,31,0,31,44.86666667,15:41:44,June,24,2023,2023-06-24,Saturday,https://www.instagram.com/laysieee/reels/,11,8747,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,Cs38N4YP20y,https://www.instagram.com/laysieee/reel/Cs38N4YP20y/,596,30,0,30,36.33333333,12:31:51,May,30,2023,2023-05-30,Tuesday,https://www.instagram.com/laysieee/reels/,12,7249,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/libatique/reels/,C6tdvgfO-cv,https://www.instagram.com/libatique/reel/C6tdvgfO-cv/,,50,1,51,60.05997664,13:55:57,May,9,2024,2024-05-09,Thursday,https://www.instagram.com/libatique/reels/,1,24000,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,C2cqqE8LppS,https://www.instagram.com/libatique/reel/C2cqqE8LppS/,1917,70,0,70,8.96145,10:32:25,January,23,2024,2024-01-23,Tuesday,https://www.instagram.com/libatique/reels/,2,32200,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,CBSBrWgAxw-,https://www.instagram.com/libatique/reel/CBSBrWgAxw-/,,71,0,71,74.071655,0:40:14,June,11,2020,2020-06-11,Thursday,https://www.instagram.com/libatique/reels/,3,30300,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,CBPo4dggNf3,https://www.instagram.com/libatique/reel/CBPo4dggNf3/,,70,1,71,69.056145,2:26:03,June,10,2020,2020-06-10,Wednesday,https://www.instagram.com/libatique/reels/,4,32800,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,CBKj6qZg1ZJ,https://www.instagram.com/libatique/reel/CBKj6qZg1ZJ/,,63,3,66,17.020225,3:06:49,June,8,2020,2020-06-08,Monday,https://www.instagram.com/libatique/reels/,5,7513,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,CAluxEjAdfl,https://www.instagram.com/libatique/reel/CAluxEjAdfl/,,40,0,40,29.048162,3:21:45,May,31,2020,2020-05-31,Sunday,https://www.instagram.com/libatique/reels/,6,5518,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,B4HPcPLg3yx,https://www.instagram.com/libatique/reel/B4HPcPLg3yx/,,68,1,69,14.048071,3:24:10,October,27,2019,2019-10-27,Sunday,https://www.instagram.com/libatique/reels/,7,5,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,B1HYYZDgk1k,https://www.instagram.com/libatique/reel/B1HYYZDgk1k/,10,70,3,73,32.972335,15:26:46,August,13,2019,2019-08-13,Tuesday,https://www.instagram.com/libatique/reels/,8,18000,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,BnnIRCfBldC,https://www.instagram.com/libatique/reel/BnnIRCfBldC/,,70,0,70,42.23802083,23:44:46,September,11,2018,2018-09-11,Tuesday,https://www.instagram.com/libatique/reels/,9,6,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,BlwdacqlW7c,https://www.instagram.com/libatique/reel/BlwdacqlW7c/,,66,0,66,59.93333333,21:40:10,July,27,2018,2018-07-27,Friday,https://www.instagram.com/libatique/reels/,10,4,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,Bizdw6NB6lF,https://www.instagram.com/libatique/reel/Bizdw6NB6lF/,,62,0,62,5.758548,12:06:33,May,15,2018,2018-05-15,Tuesday,https://www.instagram.com/libatique/reels/,11,10,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/libatique/reels/,BiqMZhABAoB,https://www.instagram.com/libatique/reel/BiqMZhABAoB/,,44,0,44,8.568163,21:40:35,May,11,2018,2018-05-11,Friday,https://www.instagram.com/libatique/reels/,12,2,https://www.instagram.com/libatique/reels/,73349
https://www.instagram.com/dantebasco/reels/,ChaExv8gYnY,https://www.instagram.com/dantebasco/reel/ChaExv8gYnY/,23725,74,1,75,14.999999,12:25:57,August,18,2022,2022-08-18,Thursday,https://www.instagram.com/dantebasco/reels/,1,235000,https://www.instagram.com/dantebasco/reels/,242104
